Fish #,Species,PIT #,V16 Short,Clip #,FL,TL,Interorbital,Inside Mouth,Outside Mouth,Recap,Notes,,PIT CODE,V16 CODE Full,M/O Ratio,Determined Species,Sex,,Date,River ,Site,Easting,Northing,Notes
52,AST,48,201237,53,115.4,130.8,93.1,41,69,N,,,3DD.003E185F64,A69-2801-201237,0.440386681,AST,U,,8/18/2026,Penobscot,The Spindle,514494,4948116,SEAL AT END OF DAY
53,AST,R,201249,66,176.2,210,176,69,112,Y,UMAINE RECAP / GIRTH 78CM,,3D9.1BF14AF288,A69-2801-201249,0.392045455,AST,U,,,,,,,
54,AST,49,201248,70,102.6,116.8,81,41,58,N,,,3DD.003E185F5A,A69-2801-201248,0.50617284,AST,U,,,,,,,
55,AST,50,201253,79,109.4,120.2,92,42,63,N,,,3DD.003E185F39,A69-2801-201253,0.456521739,AST,U,,,,,,,
56,AST,51,201250,64,120,143.1,96,48,73,N,,,3DD.003E185F57,A69-2801-201250,0.5,AST,U,,,,,,,
57,AST,52,,69,92.2,108.8,75.2,33.3,49.2,N,,,3DD.003E185F56,,0.442819149,AST,U,,,,,,,
58,AST,53,,62,97.8,105.2,78.2,37.4,58.2,N,,,3DD.003E185F79,,0.47826087,AST,U,,,,,,,
59,AST,54,,67,100.4,120,81.2,37.3,62.3,N,,,3DD.003E185F5D,,0.459359606,AST,U,,,,,,,
60,AST,55,,61,88,103,70.8,35.1,50.3,N,,,3DD.003E185F4E,,0.495762712,AST,U,,,,,,,
61,AST,56,,77,93.6,109.2,71,33.9,54.7,N,,,3DD.003E185F46,,0.477464789,AST,U,,,,,,,
62,AST,58,,65,88.8,104.4,69.2,32.7,53.6,N,,,3DD.003E185F80,,0.472543353,AST,U,,,,,,,
63,AST,R,,78,90.4,104.6,72.9,35.1,52.4,Y,UMAINE PREVIOUSE DAY RECAP,,3DD.003E185F71,,0.481481481,AST,U,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
