Fish #,Species,PIT #,V16 Short,Clip #,FL,TL,Interorbital,Inside Mouth,Outside Mouth,Recap,Notes,,PIT CODE,V16 CODE Full,M/O Ratio,Determined Species,Sex,,Date,River ,Site,Easting,Northing,Notes
25,SNS,R,201244,26,91.1,105,73.1,49.1,59.8,Y,UMAINE RECAPTURE,,3DD.003BEF3671,A69-2801-201244,0.671682627,SNS,U,,8/5/2025,Penobscot,The Spindle,514494,4948116,
26,SNS,26,201236,27,87.3,102.4,67.7,47.2,53.7,N,,,3DD.003E185F7B,A69-2801-201236,0.697193501,SNS,,,,,,,,
27,SNS,27,201241,28,95,109.7,71,49,61,N,,,3DD.003E185F82,A69-2801-201241,0.690140845,SNS,,,,,,,,
28,SNS,28,201245,29,109.2,118,69.1,48.5,66.8,N,,,3DD.003E185F6E,A69-2801-201245,0.701881331,SNS,,,,,,,,
29,AST,29,201246,30,94.4,113.2,77.8,37.6,51.4,N,,,3DD.003E185F8B,A69-2801-201246,0.483290488,AST,,,,,,,,
30,AST,30,201243,31,87,101.4,63,33,47,N,,,3DD.003E185F8A,A69-2801-201243,0.523809524,AST,,,,,,,,
31,AST,31,201242,32,90.4,108.6,71,36.1,55.9,N,RIGHT PECTORAL WOUND,,3DD.003E185F7C,A69-2801-201242,0.508450704,AST,,,,,,,,
32,SNS,R,201247,33,90.3,104.8,68,39,55,Y,UMAINE RECAPTURE,,3D9.1C2D7E000E,A69-2801-201247,0.573529412,UKN,,,,,,,,
33,SNS,R,201232,34,89,100.4,67,38,59,Y,UMAINE RECAPTURE,,3D9.1C2D6CC918,A69-2801-201232,0.567164179,UKN,,,,,,,,
34,SNS,R,201234,35,86.8,101,62,47,54,Y,UMAINE RECAPTURE,,3DD.003D99263F,A69-2801-201234,0.758064516,SNS,,,,,,,,
35,AST,32,201229,36,159.2,185.3,120,59.7,85.9,N,,,3DD.003E185F81,A69-2801-201229,0.4975,AST,,,,,,,,
36,AST,33,,37,79.8,90.6,63,34,49,N,NO AC TAG,,3DD.003E185F6F,,0.53968254,AST,,,,,,,,
37,AST,34,201233,38,90,105.8,73,39,52,N,,,3DD.003E185F7A,A69-2801-201233,0.534246575,AST,,,,,,,,
38,SNS,35,201239,39,94.8,108.8,73,50,66,N,JOE THINKS ITS UGLY,,3DD.003E185F66,A69-2801-201239,0.684931507,SNS,,,,,,,,
39,AST,36,201240,40,85.6,103,79,34,53,N,,,3DD.003E185F83,A69-2801-201240,0.430379747,AST,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
