Fish #,Species,PIT #,V16 Short,Clip #,FL,TL,Interorbital,Inside Mouth,Outside Mouth,Recap,Notes,,PIT CODE,V16 CODE Full,M/O Ratio,Determined Species,Sex,,Date,River ,Site,Easting,Northing,Notes
11,SNS,11,201219,11,73.1,88.2,54,36,41,N,,,3DD.003E185F7F,A69-2801-201219,0.666666667,SNS,U,,8/4/2025,Kennebec,Hallowell,437291,4902372,
12,SNS,12,201218,12,68.9,82.8,57,38,46,N,,,3DD.003E185F94,A69-2801-201218,0.666666667,SNS,U,,,,,,,
13,SNS,13,201216,13,65.6,76.6,51,40,47,N,,,3DD.003E185F74,A69-2801-201216,0.784313725,SNS,U,,,,,,,
14,SNS,14,201221,14,75.8,86.2,59,46,54,N,NO RIGHT PEC,,3DD.003E185F91,A69-2801-201221,0.779661017,SNS,U,,,,,,,
15,SNS,15,201220,15,65.2,77.1,50,36,43,N,WOUND L,,3DD.003E185F90,A69-2801-201220,0.72,SNS,U,,,,,,,
16,SNS,16,201129,16,74,84.8,57,44,55,N,CAUDAL DEFORMITY,,3DD.003E185F78,A69-2801-201129,0.771929825,SNS,U,,,,,,,
17,SNS,17,201223,17,65.8,76.8,49,37,46,N,,,3DD.003E185F87,A69-2801-201223,0.755102041,SNS,U,,,,,,,
18,SNS,18,201222,18,70.6,82.6,52,44,51,N,,,3DD.003E185F6C,A69-2801-201222,0.846153846,SNS,U,,,,,,,
19,SNS,19,201217,19,68.2,82.6,51,44,52,N,,,3DD.003E185F89,A69-2801-201217,0.862745098,SNS,U,,,,,,,
20,SNS,20,201214,20,58.8,70.4,51,35,43,N,,,3DD.003E185F8E,A69-2801-201214,0.68627451,SNS,U,,,,,,,
21,SNS,21,201213,21,59,69.6,47,36,42,N,,,3DD.003E185F88,A69-2801-201213,0.765957447,SNS,U,,,,,,,
22,SNS,23,201225,22,63.4,75.2,46,35,43,N,,,3DD.003E185F85,A69-2801-201225,0.760869565,SNS,U,,,,,,,
23,SNS,24,201224,23,65.4,77,51,57,45,N,,,3DD.003E185F68,A69-2801-201224,1.117647059,SNS,U,,,,,,,
24,SNS,25,,24,61.4,72.3,47,36,43,N,,,3DD.003E185F69,,0.765957447,SNS,U,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
