"ANIMAL_ID   (floy tag ID, pit tag code, etc.)",TAG_TYPE,TAG_MANUFACTURER,TAG_MODEL,TAG_SERIAL_NUMBER,TAG_ID_CODE,TAG_CODE_SPACE,TAG_IMPLANT_TYPE,TAG_IMPLANT_METHOD,TAG_ACTIVATION_DATE,EST_TAG_LIFE,TAGGER,TAG_OWNER_PI,TAG_OWNER_ORGANIZATION,COMMON_NAME_E,SCIENTIFIC_NAME,CAPTURE_LOCATION,CAPTURE_LATITUDE,CAPTURE_LONGITUDE,WILD_OR_HATCHERY,STOCK,LENGTH (m),WEIGHT (kg),LENGTH_TYPE,LENGTH2 (m),LENGTH2_TYPE,LIFE_STAGE,AGE,AGE_UNITS,SEX,DNA_SAMPLE_TAKEN,TREATMENT_TYPE,RELEASE_GROUP,RELEASE_LOCATION,RELEASE_LATITUDE,RELEASE_LONGITUDE,UTC_RELEASE_DATE_TIME,HARVEST_DATE,CAPTURE_DEPTH (m),TEMPERATURE_CHANGE (degrees C),HOLDING_TEMPERATURE (degrees C),PREOP_HOLD_PERIOD,POSTOP_HOLD_PERIOD,SURGERY_LOCATION,DATE_OF_SURGERY,SURGERY_LATITUDE,SURGERY_LONGITUDE,SEDATIVE,SEDATIVE_CONCENTRATION (ppm),ANAESTHETIC,BUFFER,ANAESTHETIC_CONCENTRATION (ppm),BUFFER_CONCENTRATION_IN_ANAESTHETIC (ppm),ANAESTHETIC_CONCENTRATION_IN_RECIRCULATION (ppm),BUFFER_CONCENTRATION_IN_RECIRCULATION (ppm),DISSOLVED_OXYGEN (ppm),COMMENTS,,,,,,,,,,,,,,,,,
3D9.1BF1887023,Acoustic,VEMCO,V16-4x,1221733,21266,A69-9001,INTERNAL,"Midventral line incision, sutures",2015-09-03,2435 days,Catherine Johnston/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Shortnose Sturgeon,Acipenser brevirostrum,Penobscot River,44.77563,-68.78451,W,NA,0.826,4.7,FORK,,,Adult,Unknown,,F,Yes,,,Penobscot River,44.77563,-68.78451,2015/09/03T00:00:00,,6.64464,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
3D9.1C2D8D20D0,Acoustic,VEMCO,V16-4x,1221721,21254,A69-9001,INTERNAL,"Midventral line incision, sutures",2015-09-03,2435 days,Catherine Johnston/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Shortnose Sturgeon,Acipenser brevirostrum,Penobscot River,44.77563,-68.78451,W,NA,0.979,10,FORK,,,Adult,Unknown,,F,Yes,,,Penobscot River,44.77563,-68.78451,2015/09/03T00:00:00,,7.95528,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
3D9.1BF1886857,Acoustic,VEMCO,V16-4x,1221730,21263,A69-9001,INTERNAL,"Midventral line incision, sutures",2015-09-04,2435 days,Catherine Johnston/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Shortnose Sturgeon,Acipenser brevirostrum,Penobscot River,44.77563,-68.78451,W,NA,0.913,6.55,FORK,,,Adult,Unknown,,F,Yes,,,Penobscot River,44.77563,-68.78451,2015/09/04T00:00:00,,4.78536,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
3D9.1BF188EB99,Acoustic,VEMCO,V16-4x,1221729,21262,A69-9001,INTERNAL,"Midventral line incision, sutures",2015-09-04,2435 days,Catherine Johnston/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Shortnose Sturgeon,Acipenser brevirostrum,Penobscot River,44.77563,-68.78451,W,NA,0.869,5.4,FORK,,,Adult,Unknown,,F,Yes,,,Penobscot River,44.77563,-68.78451,2015/09/04T00:00:00,,5.21208,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
3D9.1BF1886105,Acoustic,VEMCO,V16-4x,1221732,21265,A69-9001,INTERNAL,"Midventral line incision, sutures",2015-09-04,2435 days,Catherine Johnston/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Shortnose Sturgeon,Acipenser brevirostrum,Penobscot River,44.77563,-68.78451,W,NA,0.973,7.2,FORK,,,Adult,Unknown,,F,Yes,,,Penobscot River,44.77563,-68.78451,2015/09/04T00:00:00,,3.10896,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
3D9.1C2D6C36EE,Acoustic,VEMCO,V16-4x,1221727,21260,A69-9001,INTERNAL,"Midventral line incision, sutures",2015-09-16,2435 days,Catherine Johnston/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Shortnose Sturgeon,Acipenser brevirostrum,Penobscot River,44.76557,-68.79106,W,NA,0.895,6.45,FORK,,,Adult,Unknown,,F,Yes,,,Penobscot River,44.76557,-68.79106,2015/09/16T00:00:00,,7.40664,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
3D9.1BF18870AF,Acoustic,VEMCO,V16-4x,1221726,21259,A69-9001,INTERNAL,"Midventral line incision, sutures",2015-09-18,2435 days,Catherine Johnston/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Shortnose Sturgeon,Acipenser brevirostrum,Penobscot River,44.77563,-68.78451,W,NA,0.926,7.2,FORK,,,Adult,Unknown,,F,Yes,,,Penobscot River,44.77563,-68.78451,2015/09/18T00:00:00,,3.93192,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
3D9.1BF1887F67,Acoustic,VEMCO,V16-4x,1221725,21258,A69-9001,INTERNAL,"Midventral line incision, sutures",2015-09-23,2435 days,Catherine Johnston/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Shortnose Sturgeon,Acipenser brevirostrum,Penobscot River,44.77563,-68.78451,W,NA,0.856,5.8,FORK,,,Adult,Unknown,,F,Yes,,,Penobscot River,44.77563,-68.78451,2015/09/23T00:00:00,,4.81584,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
3D9.1BF188565D,Acoustic,VEMCO,V16-4x,1221731,21264,A69-9001,INTERNAL,"Midventral line incision, sutures",2015-09-23,2435 days,Catherine Johnston/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Shortnose Sturgeon,Acipenser brevirostrum,Penobscot River,44.77563,-68.78451,W,NA,0.819,4.8,FORK,,,Adult,Unknown,,F,Yes,,,Penobscot River,44.77563,-68.78451,2015/09/23T00:00:00,,4.81584,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
3D9.1BF1888FC2,Acoustic,VEMCO,V16-4x,1221728,21261,A69-9001,INTERNAL,"Midventral line incision, sutures",2015-10-09,2435 days,Catherine Johnston/Kevin Lachapelle,Gayle Zydlewski,Universtiy of Maine,Shortnose Sturgeon,Acipenser brevirostrum,Penobscot River,44.81085,-68.74318,W,NA,0.941,7.8,FORK,,,Adult,Unknown,,F,Yes,,,Penobscot River,44.81085,-68.74318,2015/10/09T00:00:00,,5.51688,,,,,Penobscot River,,,,TRICAINE METHANESULFONATE,,TRICAINE METHANESULFONATE,SODIUM BICARBONATE,,,,,,,,,,,,,,,,,,,,,,,
