"","FishID","Species","TagID","TagType","Origin","FishIDs","ProjectID","ReleaseSite","CaptureDate","CaptureLocation","Easting","Northing","ForkLength","TotalLength","LengthUnit","Mass","MassUnit","Alive","Recapture","InitialRelease","Sex","Interorbital","InsideMouth","OutsideMouth","DorsalScore","CaudalScore","FinClipObs","Surgeon","VIE","DevelopmentalStage","StockingMark1","StockingMark2","FinClip","ScaleSample","SensorType","SensorIDCode","SensorCodeSpace","System","Notes"
"22","2025-AST-0022","AST","A69-2801-201248","Acoustic","Wild","","","",2025-08-18,"The Spindle",514494,4948116,102,116,"cm",NA,"g",1,0,1,"UNK",81,41,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"23","2025-AST-0023","AST","A69-2801-201253","Acoustic","Wild","","","",2025-08-18,"The Spindle",514494,4948116,109,120,"cm",NA,"g",1,0,1,"UNK",92,42,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"24","2025-AST-0024","AST","A69-2801-201250","Acoustic","Wild","","","",2025-08-18,"The Spindle",514494,4948116,120,143,"cm",NA,"g",1,0,1,"UNK",96,48,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"25","AST-2007-025","AST","A69-2801-201228","Acoustic","Wild","Carlin: 31449; Genetic ID: G-154; Photo ID: 07-088;","Sturgeon-PNR","Penobscot River",2025-07-29,"Gardiner",438716,4899033,197,225,"cm",NA,"g",1,1,0,"UNK",NA,74,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec",""
"26","AST-2017-001","AST","1268734","Acoustic","Wild","FLOY: 53399; Genetic ID: G-1501; Photo ID: 17-032;","Sturgeon-PNR","Penobscot River",2017-07-14,"Penobscot",514534,4947641,140,170,"cm",21.3,"kg",1,0,1,"U",110,51,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"27","AST-2017-002","AST","1268735","Acoustic","Wild","FLOY: 53400; Genetic ID: G-1502; Photo ID: 17-033;","Sturgeon-PNR","Penobscot River",2017-07-14,"Penobscot",514534,4947641,148,171,"cm",25.3,"kg",1,0,1,"U",114,55,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"28","AST-2017-004","AST","1268731","Acoustic","Wild","FLOY: 53317; Genetic ID: G-1517; Photo ID: 17-052;","Sturgeon-PNR","Penobscot River",2017-08-23,"Penobscot",512995,4949601,90,107,"cm",6.6,"kg",1,0,1,"TT",69,39,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"29","AST-2017-006","AST","1268733","Acoustic","Wild","FLOY: 53321; Genetic ID: G-1520; Photo ID: 17-056;","Sturgeon-PNR","Penobscot River",2017-09-06,"Penobscot",512984,4949616,70,80,"cm",2.9,"kg",1,0,1,"TT",52,25,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"30","AST-2017-006","AST","1268733","Acoustic","Wild","FLOY: 53321; Genetic ID: G-1520; Photo ID: 17-056;","Sturgeon-PNR","Penobscot River",2018-09-13,"Penobscot",512950,4949689,86,97,"cm",5.55,"kg",1,1,0,"",63,35,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"31","AST-2017-008","AST","1268732","Acoustic","Wild","FLOY: 53328; Genetic ID: G-1523; Photo ID: 17-064;","Sturgeon-PNR","Penobscot River",2017-09-12,"Penobscot",513008,4949613,130,154,"cm",19.2,"kg",1,0,1,"TT",96,49,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"32","AST-2018-005","AST","1299384","Acoustic","Wild","FLOY: 54345; Genetic ID: G-1792; Photo ID: 18-045;","Sturgeon-PNR","Penobscot RIver",2018-07-19,"Penobscot",512941,4949677,79,91,"cm",4.35,"kg",1,0,1,"",63,32,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"33","AST-2018-006","AST","1299381","Acoustic","Wild","FLOY: 54351; Genetic ID: G-1798; Photo ID: 18-051;","Sturgeon-PNR","Penobscot RIver",2018-07-20,"Penobscot",512910,4949717,87,102,"cm",6.1,"kg",1,0,1,"TT",69,35,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"34","AST-2018-007","AST","1299385","Acoustic","Wild","FLOY: 54352; Genetic ID: G-1799; Photo ID: 18-052;","Sturgeon-PNR","Penobscot RIver",2018-07-20,"Penobscot",512910,4949717,93,108,"cm",6.4,"kg",1,0,1,"TT",71,40,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"35","AST-2018-008","AST","1299382","Acoustic","Wild","FLOY: 54353; Genetic ID: G-1800; Photo ID: 18-053;","Sturgeon-PNR","Penobscot RIver",2018-07-20,"Penobscot",512910,4949717,88,103,"cm",6.1,"kg",1,0,1,"TT",69,37,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"36","AST-2018-010","AST","1299383","Acoustic","Wild","FLOY: 54390; Genetic ID: G-1823; Photo ID: 18-084;","Sturgeon-PNR","Penobscot RIver",2018-09-13,"Penobscot",512950,4949689,145,172,"cm",30.8,"kg",1,0,1,"",121,56,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"37","AST-2019-026","AST","A69-2801-201249","Acoustic","Wild","FLOY: 54566; Genetic ID: G-1910; Photo ID: 19-095;","Sturgeon-PNR","Penobscot River",2019-07-30,"Penobscot",514772,4947174,159,189,"cm",31.8,"kg",1,0,1,"U",131,58,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"38","AST-2019-026","AST","A69-2801-201249","Acoustic","Wild","FLOY: 54566; Genetic ID: G-1910; Photo ID: 19-095;","Sturgeon-PNR","Penobscot River",2025-08-18,"The Spindle",514494,4948116,176,210,"cm",NA,"g",1,1,0,"UNK",176,69,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot","GIRTH 78CM"
"39","2025-SNS-0001","SNS","A69-2801-201219","Acoustic","Wild","","","",2025-08-04,"Hallowell",437291,4902372,73,88,"cm",NA,"g",1,0,1,"UNK",54,36,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kennebec",""
