TagID,TagType,FishID,CaptureDate,PITIDNo,AcousticSerialNo,AcousticTagFamily,AcousticCodeSpace,AcousticIDCode,Frequency,RadioCode,RadioCodeStruct,RadioBurstRate,VisualType,VisualIDNo,EstTagLife,DeathDate,SalesOrder,Customer,SensorType,CodeSpace,IDCode
1268735,Acoustic,AST-2017-002,7/14/2017 0:00,3DD.003BEF36BB,1268735,V16-4x,A69-9001,14220,69,,,,,,3650,00:00.0,23212,UMaine,NA,,
1299381,Acoustic,AST-2018-006,7/20/2018 0:00,3DD.003BEF3652,1299381,V16-4X,A69-9001,9161,69,,,,,,3650,00:00.0,25747,University of Maine,NA,,
1299382,Acoustic,AST-2018-008,7/20/2018 0:00,3DD.003BEF3638,1299382,V16-4X,A69-9001,9162,69,,,,,,3650,00:00.0,25747,University of Maine,NA,,
1299383,Acoustic,AST-2018-010,9/13/2018 0:00,3DD.003BEF3655,1299383,V16-4X,A69-9001,9163,69,,,,,,3650,00:00.0,25747,University of Maine,NA,,
1299384,Acoustic,AST-2018-005,7/19/2018 0:00,3DD.003BEF3694,1299384,V16-4X,A69-9001,9164,69,,,,,,3650,00:00.0,25747,University of Maine,NA,,
1299385,Acoustic,AST-2018-007,7/20/2018 0:00,3DD.003BEF3660,1299385,V16-4X,A69-9001,9165,69,,,,,,3650,00:00.0,25747,University of Maine,NA,,
4309H,Acoustic,AST-2006-006,10/3/2006 0:00,46075A237C,4309H,V13TP-1L,A69-1105,,69,,,,,,650,00:00.0,,,D,1105,138
4309H,Acoustic,AST-2006-006,10/3/2006 0:00,46075A237C,4309H,V13TP-1L,A69-1105,,69,,,,,,650,00:00.0,,,T,1105,137
4310H,Acoustic,AST-2006-007,10/4/2006 0:00,46025D6E3D,4310H,V13TP-1L,A69-1105,,69,,,,,,650,00:00.0,,,D,1105,140
4310H,Acoustic,AST-2006-007,10/4/2006 0:00,46025D6E3D,4310H,V13TP-1L,A69-1105,,69,,,,,,650,00:00.0,,,T,1105,139
4311H,Acoustic,AST-2007-004,5/29/2007 0:00,3D9.257C63D6C1,4311H,V13TP-1L,A69-1105,,69,,,,,,650,00:00.0,,,D,1105,142
4311H,Acoustic,AST-2007-004,5/29/2007 0:00,3D9.257C63D6C1,4311H,V13TP-1L,A69-1105,,69,,,,,,650,00:00.0,,,T,1105,141
4313H,Acoustic,AST-2007-002,5/25/2007 0:00,3D9.257C6614EF,4313H,V13TP-1L,A69-1105,,69,,,,,,650,00:00.0,,,D,1105,146
4313H,Acoustic,AST-2007-002,5/25/2007 0:00,3D9.257C6614EF,4313H,V13TP-1L,A69-1105,,69,,,,,,650,00:00.0,,,T,1105,145
4315H,Acoustic,AST-2007-003,5/28/2007 0:00,3D9.257C65B03A,4315H,V13TP-1L,A69-1105,,69,,,,,,650,00:00.0,,,D,1105,150
4315H,Acoustic,AST-2007-003,5/28/2007 0:00,3D9.257C65B03A,4315H,V13TP-1L,A69-1105,,69,,,,,,650,00:00.0,,,T,1105,149
5161G,Acoustic,AST-2006-001,7/4/2006 0:00,460171765A,5161G,V9P-2L,A69-1105,,69,,,,,,214,00:00.0,,,D,1105,24
5441H,Acoustic,AST-2007-001,5/25/2007 0:00,3D9.257C6609A8,5441H,V13TP-1L,A69-1105,,69,,,,,,581,00:00.0,,,D,1105,21
5441H,Acoustic,AST-2007-001,5/25/2007 0:00,3D9.257C6609A8,5441H,V13TP-1L,A69-1105,,69,,,,,,581,00:00.0,,,T,1105,20
A69-2801-201127,Acoustic,2025-AST-0002,7/29/2025 0:00,3DD.003E185F8D,,,A69-2801,201127,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201128,Acoustic,2025-AST-0004,7/29/2025 0:00,3DD.003E185F8F,,,A69-2801,201128,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201130,Acoustic,2025-AST-0006,7/29/2025 0:00,3DD.003E185F76,,,A69-2801,201130,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201131,Acoustic,2025-AST-0005,7/29/2025 0:00,3DD.003E185F77,,,A69-2801,201131,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201132,Acoustic,2025-AST-0007,7/29/2025 0:00,3DD.003E185F92,,,A69-2801,201132,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201133,Acoustic,2025-AST-0001,7/29/2025 0:00,3DD.003E185F8C,,,A69-2801,201133,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201134,Acoustic,2025-AST-0003,7/29/2025 0:00,3DD.003E185F93,,,A69-2801,201134,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201212,Acoustic,2025-AST-0008,7/29/2025 0:00,3DD.003E185F95,,,A69-2801,201212,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201215,Acoustic,2025-AST-0009,7/29/2025 0:00,3DD.003E185F86,,,A69-2801,201215,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201226,Acoustic,2025-AST-0019,8/17/2025 0:00,3DD.003E185F58,,,A69-2801,201226,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201228,Acoustic,AST-2007-025,7/29/2025 0:00,3D9.257C65BA2C,,,A69-2801,201228,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201229,Acoustic,2025-AST-0013,8/5/2025 0:00,3DD.003E185F81,,,A69-2801,201229,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201230,Acoustic,2025-AST-0017,8/17/2025 0:00,3DD.003E185F6B,,,A69-2801,201230,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201231,Acoustic,2025-AST-0018,8/17/2025 0:00,3DD.003E185F73,,,A69-2801,201231,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201233,Acoustic,2025-AST-0014,8/5/2025 0:00,3DD.003E185F7A,,,A69-2801,201233,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201235,Acoustic,2025-AST-0016,8/17/2025 0:00,3DD.003E185F6D,,,A69-2801,201235,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201237,Acoustic,2025-AST-0021,8/18/2025 0:00,3DD.003E185F64,,,A69-2801,201237,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201238,Acoustic,2025-AST-0020,8/17/2025 0:00,3DD.003E185F53,,,A69-2801,201238,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201240,Acoustic,2025-AST-0015,8/5/2025 0:00,3DD.003E185F83,,,A69-2801,201240,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201242,Acoustic,2025-AST-0012,8/5/2025 0:00,3DD.003E185F7C,,,A69-2801,201242,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201243,Acoustic,2025-AST-0011,8/5/2025 0:00,3DD.003E185F8A,,,A69-2801,201243,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201246,Acoustic,2025-AST-0010,8/5/2025 0:00,3DD.003E185F8B,,,A69-2801,201246,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201248,Acoustic,2025-AST-0022,8/18/2025 0:00,3DD.003E185F5A,,,A69-2801,201248,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201249,Acoustic,AST-2019-026,8/18/2025 0:00,3D9.1BF14AF288,,,A69-2801,201249,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201250,Acoustic,2025-AST-0024,8/18/2025 0:00,3DD.003E185F57,,,A69-2801,201250,0,,NULL,0,,,2560,00:00.0,,,NA,,
A69-2801-201253,Acoustic,2025-AST-0023,8/18/2025 0:00,3DD.003E185F39,,,A69-2801,201253,0,,NULL,0,,,2560,00:00.0,,,NA,,
,,,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,
