FishID,Species,TagID,TagType,Origin,FishIDs,ProjectID,ReleaseSite,CaptureDate,CaptureLocation,Easting,Northing,ForkLength,TotalLength,LengthUnit,Mass,MassUnit,Alive,Recapture,InitialRelease,Sex,Interorbital,InsideMouth,OutsideMouth,DorsalScore,CaudalScore,FinClipObs,Surgeon,VIE,DevelopmentalStage,StockingMark1,StockingMark2,FinClip,ScaleSample,SensorType,SensorIDCode,SensorCodeSpace,System,Notes
2025-AST-0014,AST,A69-2801-201233,Acoustic,Wild,,,,"2025-08-05 00:00:00","The Spindle",514494,4948116,90,105,cm,,g,1,0,1,UNK,73,39,52,,,,,,,,,,,,NA,NA,Penobscot,
2025-AST-0015,AST,A69-2801-201240,Acoustic,Wild,,,,"2025-08-05 00:00:00","The Spindle",514494,4948116,85,103,cm,,g,1,0,1,UNK,79,34,53,,,,,,,,,,,,NA,NA,Penobscot,
2025-AST-0016,AST,A69-2801-201235,Acoustic,Wild,,,,"2025-08-17 00:00:00","The Spindle",514494,4948116,109,125,cm,,g,1,0,1,UNK,91,48,68,,,,,,,,,,,,NA,NA,Penobscot,
2025-AST-0017,AST,A69-2801-201230,Acoustic,Wild,,,,"2025-08-17 00:00:00","The Spindle",514494,4948116,109,114,cm,,g,1,0,1,UNK,80,43,59,,,,,,,,,,,,NA,NA,Penobscot,
2025-AST-0018,AST,A69-2801-201231,Acoustic,Wild,,,,"2025-08-17 00:00:00","The Spindle",514494,4948116,103,123,cm,,g,1,0,1,UNK,85,43,64,,,,,,,,,,,,NA,NA,Penobscot,
2025-AST-0019,AST,A69-2801-201226,Acoustic,Wild,,,,"2025-08-17 00:00:00","The Spindle",514494,4948116,95,112,cm,,g,1,0,1,UNK,75,34,56,,,,,,,,,,,,NA,NA,Penobscot,
2025-AST-0020,AST,A69-2801-201238,Acoustic,Wild,,,,"2025-08-17 00:00:00","The Spindle",514494,4948116,130,152,cm,,g,1,0,1,UNK,113,49,74,,,,,,,,,,,,NA,NA,Penobscot,
2025-AST-0021,AST,A69-2801-201237,Acoustic,Wild,,,,"2025-08-18 00:00:00","The Spindle",514494,4948116,115,130,cm,,g,1,0,1,UNK,93,41,69,,,,,,,,,,,,NA,NA,Penobscot,
2025-AST-0022,AST,A69-2801-201248,Acoustic,Wild,,,,"2025-08-18 00:00:00","The Spindle",514494,4948116,102,116,cm,,g,1,0,1,UNK,81,41,58,,,,,,,,,,,,NA,NA,Penobscot,
2025-AST-0023,AST,A69-2801-201253,Acoustic,Wild,,,,"2025-08-18 00:00:00","The Spindle",514494,4948116,109,120,cm,,g,1,0,1,UNK,92,42,63,,,,,,,,,,,,NA,NA,Penobscot,
2025-AST-0024,AST,A69-2801-201250,Acoustic,Wild,,,,"2025-08-18 00:00:00","The Spindle",514494,4948116,120,143,cm,,g,1,0,1,UNK,96,48,73,,,,,,,,,,,,NA,NA,Penobscot,
AST-2006-001,AST,5161G,Acoustic,Wild,"Carlin: 31030; Genetic ID: G-034; Photo ID: 06-034;",Sturgeon-PNR,"Penobscot River","2006-07-04 00:00:00","Penobscot River",512918,4950057,93,108,cm,7.75,kg,1,0,1,U,,,,,,,,,,,,,,D,24,1105,Penobscot,
AST-2006-006,AST,4309H,Acoustic,Wild,"Carlin: 31046; Genetic ID: G-052; Photo ID: 06-052;",Sturgeon-PNR,"Penobscot River","2006-10-03 00:00:00","Penobscot River",,,100,119,cm,8.5,kg,1,0,1,U,,,,,,,,,,,,,,D,138,1105,Penobscot,
AST-2006-006,AST,4309H,Acoustic,Wild,"Carlin: 31046; Genetic ID: G-052; Photo ID: 06-052;",Sturgeon-PNR,"Penobscot River","2006-10-03 00:00:00","Penobscot River",,,100,119,cm,8.5,kg,1,0,1,U,,,,,,,,,,,,,,T,137,1105,Penobscot,
AST-2006-007,AST,4310H,Acoustic,Wild,"Carlin: 31048; Genetic ID: G-055; Photo ID: 06-055;",Sturgeon-PNR,"Penobscot River","2006-10-04 00:00:00","Penobscot River",516876,4957553,76,89,cm,3.5,kg,1,0,1,U,,,,,,,,,,,,,,D,140,1105,Penobscot,
AST-2006-007,AST,4310H,Acoustic,Wild,"Carlin: 31048; Genetic ID: G-055; Photo ID: 06-055;",Sturgeon-PNR,"Penobscot River","2006-10-04 00:00:00","Penobscot River",516876,4957553,76,89,cm,3.5,kg,1,0,1,U,,,,,,,,,,,,,,T,139,1105,Penobscot,
AST-2007-001,AST,5441H,Acoustic,Wild,"Carlin: 31068; Genetic ID: G-075; Photo ID: 07-005;",Sturgeon-PNR,"Penobscot River","2007-05-25 00:00:00","Penobscot River",514214,4945880,94,111,cm,6.5,kg,1,0,1,U,,,,,,,,,,,,,,D,21,1105,Penobscot,
AST-2007-001,AST,5441H,Acoustic,Wild,"Carlin: 31068; Genetic ID: G-075; Photo ID: 07-005;",Sturgeon-PNR,"Penobscot River","2007-05-25 00:00:00","Penobscot River",514214,4945880,94,111,cm,6.5,kg,1,0,1,U,,,,,,,,,,,,,,T,20,1105,Penobscot,
AST-2007-002,AST,4313H,Acoustic,Wild,"Carlin: 31070; Genetic ID: G-077; Photo ID: 07-007;",Sturgeon-PNR,"Penobscot River","2007-05-25 00:00:00","Penobscot River",514214,4945880,112,130,cm,12.5,kg,1,0,1,U,,,,,,,,,,,,,,D,146,1105,Penobscot,
AST-2007-002,AST,4313H,Acoustic,Wild,"Carlin: 31070; Genetic ID: G-077; Photo ID: 07-007;",Sturgeon-PNR,"Penobscot River","2007-05-25 00:00:00","Penobscot River",514214,4945880,112,130,cm,12.5,kg,1,0,1,U,,,,,,,,,,,,,,T,145,1105,Penobscot,
AST-2007-003,AST,4315H,Acoustic,Wild,"Carlin: 31073; Genetic ID: G-080; Photo ID: 07-010;",Sturgeon-PNR,"Penobscot River","2007-05-28 00:00:00","Penobscot River",514139,4945869,88,105,cm,6.25,kg,1,0,1,U,,,,,,,,,,,,,,D,150,1105,Penobscot,
AST-2007-003,AST,4315H,Acoustic,Wild,"Carlin: 31073; Genetic ID: G-080; Photo ID: 07-010;",Sturgeon-PNR,"Penobscot River","2007-05-28 00:00:00","Penobscot River",514139,4945869,88,105,cm,6.25,kg,1,0,1,U,,,,,,,,,,,,,,T,149,1105,Penobscot,
AST-2007-004,AST,4311H,Acoustic,Wild,"Carlin: 31078; Genetic ID: G-085; Photo ID: 07-015;",Sturgeon-PNR,"Penobscot River","2007-05-29 00:00:00","Penobscot River",514286,4945910,97,115,cm,8.0,kg,1,0,1,U,,,,,,,,,,,,,,D,142,1105,Penobscot,
AST-2007-004,AST,4311H,Acoustic,Wild,"Carlin: 31078; Genetic ID: G-085; Photo ID: 07-015;",Sturgeon-PNR,"Penobscot River","2007-05-29 00:00:00","Penobscot River",514286,4945910,97,115,cm,8.0,kg,1,0,1,U,,,,,,,,,,,,,,T,141,1105,Penobscot,
AST-2007-025,AST,A69-2801-201228,Acoustic,Wild,"Carlin: 31449; Genetic ID: G-154; Photo ID: 07-088;",Sturgeon-PNR,"Penobscot River","2007-07-21 00:00:00","Penobscot River",514214,4945890,100,130,cm,10.5,kg,1,0,1,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
