"Event","Species","Rearing_Origin","Stage","System","Encounter_Time_zone","Encounter_Timestamp","Encounter_Location","Encounter_Easting","Encounter_Northing","Encounter_UTMZone","Encounter_Disposition","Release_Status","Release_Timezone","Release_Timestamp","Release_Location","Release_Easting","Release_Northing","TagType","TagManufacturer","TagModel","TagSerialNumber","EstTagLife","Acoustic_ID","Acoustic_Sensor_type","Acoustic_.Sensor_idcode","Acoustic_Sensor_value","PIT_ID","Radio_ID","Radio_Freq","Radio_BurstRate","External_TagID","Mark.Observed","Mark.Applied","VIE","ForkLength..cm.","TotalLength..cm.","Mass..g.","Sex","STRG_Interorbital.mm.","STRG_InsideMouth.mm.","STRG_OutsideMouth.mm.","Notes","Operator.s."
"Intial capture","SNS","Wild",,"Kennebec","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"19","Live","Yes","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"Acoustic","Innovosea","V16-4x-BLU-1",1645267,"2560","A69-2801-201221",,,,,,,,,"None","None","None",75.8,86.2,,,59,46,54,"NO RIGHT PEC","JZ,SE"
"Intial capture","SNS","Wild",,"Kennebec","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"19","Live","Yes","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"Acoustic","Innovosea","V16-4x-BLU-1",1645266,"2560","A69-2801-201220",,,,,,,,,"None","None","None",65.2,77.1,,,50,36,43,"WOUND L","JZ,SE"
"Intial capture","SNS","Wild",,"Kennebec","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"19","Live","Yes","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"Acoustic","Innovosea","V16-4x-BLU-1",1638357,"2560","A69-2801-201129",,,,,,,,,"None","None","None",74,84.8,,,57,44,55,"CAUDAL DEFORMITY","JZ,SE"
"Intial capture","SNS","Wild",,"Kennebec","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"19","Live","Yes","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"Acoustic","Innovosea","V16-4x-BLU-1",1645269,"2560","A69-2801-201223",,,,,,,,,"None","None","None",65.8,76.8,,,49,37,46,,"JZ,SE"
"Intial capture","SNS","Wild",,"Kennebec","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"19","Live","Yes","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"Acoustic","Innovosea","V16-4x-BLU-1",1645268,"2560","A69-2801-201222",,,,,,,,,"None","None","None",70.6,82.6,,,52,44,51,,"JZ,SE"
"Intial capture","SNS","Wild",,"Kennebec","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"19","Live","Yes","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"Acoustic","Innovosea","V16-4x-BLU-1",1645263,"2560","A69-2801-201217",,,,,,,,,"None","None","None",68.2,82.6,,,51,44,52,,"JZ,SE"
"Intial capture","SNS","Wild",,"Kennebec","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"19","Live","Yes","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"Acoustic","Innovosea","V16-4x-BLU-1",1645260,"2560","A69-2801-201214",,,,,,,,,"None","None","None",58.8,70.4,,,51,35,43,,"JZ,SE"
"Intial capture","SNS","Wild",,"Kennebec","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"19","Live","Yes","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"Acoustic","Innovosea","V16-4x-BLU-1",1645259,"2560","A69-2801-201213",,,,,,,,,"None","None","None",59,69.6,,,47,36,42,,"JZ,SE"
"Intial capture","SNS","Wild",,"Kennebec","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"19","Live","Yes","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"Acoustic","Innovosea","V16-4x-BLU-1",1645271,"2560","A69-2801-201225",,,,,,,,,"None","None","None",63.4,75.2,,,46,35,43,,"JZ,SE"
"Intial capture","SNS","Wild",,"Kennebec","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"19","Live","Yes","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"Acoustic","Innovosea","V16-4x-BLU-1",1645270,"2560","A69-2801-201224",,,,,,,,,"None","None","None",65.4,77,,,51,57,45,,"JZ,SE"
